Mutation Types	00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	0168a2a6-c3af-4d58-a51c-d33f0fc7876d	04db8bef-8777-48ac-bc2e-3c9acb103f48	141918cd-3e23-45bc-96e1-b208c80f69e7	155873b2-e5de-405f-87f6-6de0d238b160	15a93657-0521-430a-a816-bf0842374b75	1d325d84-a3a0-4802-9842-76cb21cecb1c	3232f77f-b745-4232-a802-6699b6356efd	34ab4c57-5240-4af7-a329-a5ab55934fd4	3afb3f57-545a-4ed5-9461-2fcb28d89399	3b7810f7-f8ff-4d62-b766-3ba06170194c	494701ce-05d4-440b-a65e-d925902b9d42	49ad3c8d-88cd-43cd-a273-1623fe2aec0b	50a5970d-a0cb-4251-8ab0-74ad0e94be9a	675a5a32-b405-4f03-bfcd-756343d1dfaf	6bd4bca3-e568-4d1b-8b42-401fdf13d751	6d3551d6-b5f4-4fd1-b8d7-8e5931096c19	741c4656-0fd0-416e-86c8-f6533b6c96f4	759e20be-6a2b-4c54-aca0-6d358598d6f5	79fa8423-2014-4536-a1f9-cb48aed3c45f	7bd3d112-d411-4ea8-a9a9-bd965f0fc943	87e0b332-60f3-4d59-8c4e-691a820c9ee1	8fa0484b-5f95-4ec8-b3de-cea2e8f3c5ca	959efb81-1d56-4659-9b7a-09f2b62483f2	a0eb2611-1ca6-44b7-897e-ce18399eb7bc	a2034620-e4b5-4d4f-ac05-7fc1c098eb40	a335b03d-41ac-4d41-a2a9-3134b5b0a0a7	b7fbd99c-dea0-4448-a430-7f94c611e702	b9d2e29e-8546-4310-aeea-e029f17c0516	ba67c02a-180b-43f3-b53c-2b77d84fbe3c	bb659e7c-0b97-41b5-ac10-a66bb1f6f283	c19a1388-95e6-4708-a24c-3738f1908071	c298ec82-8305-4c89-898f-268308f782b2	c8f64a71-e545-4eb6-9da3-2d43ae0c2627	c9ad6b1c-baa0-45a7-b7c4-733728505b8a	cdf045a6-ab6a-4dc5-b0b0-d72fbb26b0bb	d2ab7fd4-d1c7-48ae-ba9a-78c5d811465e	d4c6061b-5019-4564-806d-4e75910a4690	d5c87d16-172f-4790-8867-949dcaa534d4	d926a39f-d057-4e78-8907-b74f52157d99	decfb419-63b3-47b0-9dfc-baae180566a0	e053d377-e4f2-4aee-af7d-e61605e0f4f5	ebe80d6c-7513-4f5e-9919-669b6d1fa68c	f37971bd-ec65-4840-8d4f-678692cee695	f9a81200-5381-496a-8062-099f9e793618
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4
1:LOH:100kb-1Mb	0	2	0	3	0	0	2	1	1	0	2	0	1	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	1	1	0	3	1	4	0	0	0	0	0	1	0	3	9
1:LOH:1Mb-10Mb	0	1	0	0	2	0	1	1	1	4	0	0	1	0	0	3	5	0	0	0	2	0	0	0	0	1	1	1	0	0	4	1	0	0	1	1	1	0	0	0	1	1	2	2	4
1:LOH:10Mb-40Mb	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	1	0	1	1	0
1:LOH:>40Mb	0	7	0	0	2	3	1	2	3	3	4	1	0	3	0	3	1	2	1	2	2	2	3	1	1	4	3	2	1	2	3	4	3	2	0	1	2	3	4	0	2	1	1	1	3
2:LOH:0-100kb	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0
2:LOH:100kb-1Mb	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	4	0	0	0	1	0
2:LOH:1Mb-10Mb	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0
2:LOH:10Mb-40Mb	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2:LOH:>40Mb	1	0	8	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	1	1
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	1	2	0	0	2	1	1	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6
2:het:100kb-1Mb	0	1	0	2	0	0	1	3	1	1	6	0	0	0	0	3	0	2	0	2	4	0	0	1	0	2	3	0	1	0	2	1	0	0	0	2	0	0	0	0	0	1	1	2	10
2:het:1Mb-10Mb	0	2	1	4	0	0	1	4	2	2	4	1	0	1	1	2	0	3	0	0	4	0	0	1	0	0	0	0	0	0	3	1	1	2	1	5	0	1	0	0	0	2	2	1	1
