Mutation Types	00b9d0e6-69dc-4345-bffd-ce32880c8eef	02917220-6a7a-46a1-8656-907e96bef88e	03ad38a6-0902-4aaa-84a3-91ea88fa9883	05616329-e7ba-4efd-87b1-d79cd0f7af3d	068f4f69-d2fe-4f25-912e-ca7d4623efb6	07835447-5d7e-4828-80fd-89b063989c9a	0d569bd5-418d-4d72-87ca-8e14668c2119	0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	124d5b04-4588-44c3-9c00-61e064cf1bdb	140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	15678c3d-ce61-454d-849e-1d4ca358909b	1a4633c4-72a0-4e30-8c4c-345e04337627	1d1eeba2-4d7b-4380-b0b6-26d246bc4158	2439ec74-1713-4d47-a5d9-886f69dddcb6	282b45ee-4af2-4c61-9acc-286eaf8d661a	2b02e3ad-4423-491e-993a-561e80dc7bcf	2c3ada8b-9650-4859-9857-43209c0f7cea	3b55c58d-f95a-4a1d-9aa1-8d2c026656a9	3e012b50-06d1-4120-971b-5e54139b00ee	3e7ccab5-5b1d-4147-b907-77cab8f0837e	3e94aa64-7dd3-4d63-a5de-b4050d3dfafa	41dba8d1-8aad-474c-a82b-20b28ab818bd	461df2ae-fcf1-4b93-be0a-c14954fe7c42	4a4309b0-2aca-4d6a-ac50-039b28406bba	4adc846a-42cb-4ebd-a954-e31eb29d7572	4d1a4587-adb4-4a65-943e-f19efe8de142	4d72d06d-b6af-4294-9eef-6e61e067761f	4de7441f-a609-4a75-9fe7-17a647079ac1	4e7cdeda-6dc1-4f17-b853-72a68e5aa7e1	4e7e6e1f-c648-446f-bdf6-0b1fcc6dfa83	5bcf473f-417d-47a5-9745-ac7faf830b1f	626c9788-d70c-449b-b9dc-5e3f6fc00991	71982a1b-52a4-440f-bd5d-62a0e6cc7fd9	78bd2aa8-e5f6-4b4b-96f0-d406fbdbcee8	81b4dd02-34ec-4ddc-8818-ed888a60ad88	81cc0f39-6677-4f2e-9a75-d30152b188f3	858631eb-4e91-4aad-809c-c3948519313d	866ecfe7-caa6-4565-9418-6b9d6c8a3b43	874f64e9-8a0d-4f88-92c4-7e831842b1d1	890e840c-1d1d-4874-a8eb-f9d9a2b50a1c	8fc11cb6-9d79-41c3-bb45-0dadda890e8d	929f2216-6ab3-414f-a814-49b69d4b49d9	995a1ad2-faca-4a37-a59d-e62455985afb	9b3e7a03-cf8c-4da8-bc36-20129d7783ba	a31b6123-c1b7-4cd0-86d8-b2e640cce9da	aa20b9ab-dba9-4002-ad45-cafa2f85cef7	abedd46c-47b8-4242-adb6-12835400cb3f	b2190e26-1809-4aba-9f45-07c2edb3b4a4	b9dbc78e-44ce-427c-bbeb-de8d097bde2c	bd6bd940-ef06-433a-80d9-dca5683e9cd2	c66926a8-474d-482c-bfb7-043029c8b737	ce85ccf3-6621-4976-b187-2f28d45dd4d9	dbae3c4e-6d66-483a-a611-7285067bf85c	dc4bc4c4-2cc1-4a2e-a9f2-613088af17bf	dd8f3e1c-6ed6-41c2-957d-6f679a3cb3ca	e2b09705-c5c8-48ee-a90e-19648a7bf2cb	e2fa7251-507e-4d76-95a3-a228adc3885a	e6168db0-d12f-4218-8ab9-bd704201cb2b	e84e0649-a2e8-4873-9cb6-1aa65601ae3a	ebe0ed67-2d3f-45cd-8f9b-4912595b16a0	f047cb85-8f88-45d5-83c3-0416c9f3fff7	f04aecf0-eb12-4ab9-928e-7bcf201b0b40	f2c08ac1-4755-4c36-a11d-338d8df9fa0d	f60007b3-0603-4ad1-8b47-d2d4c4c621e4	f9dc999f-6dde-448d-9cf1-2897ddcf7b0b	fce8d8c6-f2a0-43a8-9a7a-b9c519a6686c	fdf7dfb7-9285-46b3-be60-672164507705
2:LOH:>40Mb	1	1	1	1	0	0	2	3	1	0	0	0	0	2	3	0	0	0	1	0	0	2	2	0	1	0	0	0	0	0	2	1	0	0	0	2	1	0	0	1	0	1	2	1	1	0	0	4	1	1	2	2	3	0	1	1	0	0	0	1	0	0	1	0	0	0	0
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	14	1	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	2	0	1	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	1	0	1	1	1	1	1	0	0	0	1	0	1	2	0	0	2	1	1	0	0	4	1	0	0	1	1	10	0	0	2	0	1	0	0	0	0	1	2	3	1	0	0	0	0	0	0	1	3	1	1	0	1	0	0	0	3	1	11	0	0	0	0	21	3	0
2:het:100kb-1Mb	0	0	1	0	0	1	0	0	0	2	1	0	0	2	0	3	1	1	12	1	0	1	0	1	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	8	1	1	1	0	0	0	0	2	3	0	0	0	1	0	0	2	9	1	20	1	0	0	0	57	2	5
2:het:1Mb-10Mb	0	3	1	2	2	3	3	0	2	3	0	2	1	4	0	0	1	6	15	3	1	2	6	3	1	3	1	0	0	1	1	2	2	2	3	2	0	2	1	12	21	0	0	2	1	0	0	0	5	7	1	1	2	2	3	0	4	36	1	14	1	1	0	0	202	8	3
2:het:10Mb-40Mb	2	8	5	10	4	7	9	5	6	7	7	9	2	7	0	4	5	12	14	5	4	9	3	7	8	5	7	3	0	3	2	7	4	6	4	6	0	5	2	24	23	0	4	8	7	3	2	1	9	6	10	1	6	3	9	2	4	36	0	15	4	2	4	3	26	27	6
2:het:>40Mb	23	19	19	17	23	21	20	22	16	18	21	20	23	21	0	19	20	19	21	15	19	21	10	23	14	20	21	21	0	25	1	15	19	16	18	17	0	20	21	20	25	0	15	19	24	7	23	3	23	22	23	0	22	23	18	7	21	19	0	18	21	23	19	21	0	24	19
3-4:het:0-100kb	0	1	0	4	1	1	1	2	8	0	0	0	0	2	6	0	0	1	10	0	0	0	3	0	1	0	0	1	25	0	4	1	2	0	0	1	3	0	1	1	2	11	1	1	2	0	0	0	1	0	1	16	4	4	4	0	0	4	2	0	0	2	0	0	152	14	0
3-4:het:100kb-1Mb	1	0	0	6	3	3	1	0	5	1	2	3	0	1	6	0	1	0	10	0	0	0	4	0	0	1	1	0	12	1	3	3	5	0	0	2	8	0	0	0	19	4	1	0	3	0	1	0	1	0	1	9	0	3	4	0	0	8	3	0	1	0	1	2	400	13	2
3-4:het:1Mb-10Mb	0	0	0	5	1	5	4	0	9	3	3	3	0	0	11	2	1	0	17	2	0	1	4	0	1	2	0	2	21	0	7	0	4	2	0	1	10	0	0	9	5	13	1	3	1	0	0	2	4	0	2	9	0	1	1	0	0	10	6	0	1	0	0	1	206	7	0
3-4:het:10Mb-40Mb	0	1	0	4	0	2	1	0	6	3	2	2	0	2	12	0	1	0	2	0	2	1	9	2	1	0	2	1	12	0	6	4	4	1	0	2	9	0	0	6	0	23	0	6	1	0	0	4	2	0	0	12	0	1	2	0	1	5	12	0	0	0	0	0	11	12	3
3-4:het:>40Mb	1	2	0	2	1	2	2	0	1	4	2	2	0	2	18	2	3	2	3	2	4	1	8	2	1	1	1	1	24	0	13	4	2	4	3	4	15	0	1	1	1	23	2	0	0	2	0	17	2	0	1	8	2	1	1	0	1	1	15	1	1	0	3	1	0	0	2
5-8:het:0-100kb	0	0	0	0	0	1	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	2	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	74	2	0
5-8:het:100kb-1Mb	0	0	0	0	0	4	0	0	7	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	40	0	1	0	4	0	0	0	1	0	0	0	1	8	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	105	0	0
5-8:het:1Mb-10Mb	0	0	1	0	0	2	0	0	3	0	3	1	0	0	7	0	0	0	1	1	0	0	0	0	1	0	0	0	57	0	1	1	6	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	8	0	0	0	0	0	19	1	0
5-8:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0
9+:het:100kb-1Mb	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
