Mutation Types	0bfd1043-5142-3662-e050-11ac0c486501	0bfd1043-70fb-d2dc-e050-11ac0c4860cb	0bfd1043-7344-fdd0-e050-11ac0c484cab	0bfd1043-7346-fdd0-e050-11ac0c484cab	0bfd1043-7ebf-aaec-e050-11ac0c482f39	0bfd1043-7ec1-aaec-e050-11ac0c482f39	0bfd1043-7ed6-9ccc-e050-11ac0c481957	0bfd1043-816e-e3e4-e050-11ac0c4860c5	0bfd1043-8170-e3e4-e050-11ac0c4860c5	0bfd1043-8172-e3e4-e050-11ac0c4860c5	0bfd1043-8173-e3e4-e050-11ac0c4860c5	0bfd1043-8175-e3e4-e050-11ac0c4860c5	0bfd1043-8177-e3e4-e050-11ac0c4860c5	0bfd1043-817c-e3e4-e050-11ac0c4860c5	0bfd1043-817e-e3e4-e050-11ac0c4860c5	0bfd1043-8180-e3e4-e050-11ac0c4860c5	0bfd1043-8181-e3e4-e050-11ac0c4860c5	0bfd1043-8183-e3e4-e050-11ac0c4860c5	0bfd1043-8187-e3e4-e050-11ac0c4860c5	0bfd1043-8189-e3e4-e050-11ac0c4860c5	0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0bfd1068-3fc5-a95b-e050-11ac0c4860c3	0bfd1068-3fca-a95b-e050-11ac0c4860c3	0bfd1068-3fcd-a95b-e050-11ac0c4860c3	0bfd1068-3fcf-a95b-e050-11ac0c4860c3	0bfd1068-3fd5-a95b-e050-11ac0c4860c3	0bfd1068-3fd8-a95b-e050-11ac0c4860c3	0bfd1068-3fdd-a95b-e050-11ac0c4860c3	0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0bfd1068-3fe4-a95b-e050-11ac0c4860c3	0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0bfe2ac9-0aec-c248-e050-11ac0d487e1c	0bfe2ac9-0aee-c248-e050-11ac0d487e1c	0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0bfe2ac9-0af5-c248-e050-11ac0d487e1c	0bfe2ac9-0af8-c248-e050-11ac0d487e1c	0bfe2ac9-0afa-c248-e050-11ac0d487e1c	0bfe2ac9-0afd-c248-e050-11ac0d487e1c	0bfe2ac9-0aff-c248-e050-11ac0d487e1c	0bfebf9f-c779-e57d-e050-11ac0d487827	0bfebf9f-c77d-e57d-e050-11ac0d487827	0bfebf9f-c77f-e57d-e050-11ac0d487827	0bfebf9f-c781-e57d-e050-11ac0d487827	0bfebf9f-c783-e57d-e050-11ac0d487827	0c0038ff-6cc4-b0b0-e050-11ac0d483d73	0c0038ff-6cc6-b0b0-e050-11ac0d483d73	0c0038ff-6cc8-b0b0-e050-11ac0d483d73	145f2b89-8878-4390-b0f6-f09b02fb138a	1558629a-770a-4dcb-b0bf-9a8bcea9d80b	1eb37b28-fac2-477a-88b3-e04291a07926	2b54d668-7585-4bf4-9fdd-aea3c5cd4fa4	2ea2294d-fab9-43ae-a222-370487495b06	32d8c373-b5c8-420b-9808-8812b5501649	3b8ab548-6669-4142-9612-cafded0d7a23	41c565a9-d44a-447f-85c0-98f23bfee1b3	51adf6cf-f422-4d7e-aa46-cc9bf0ef8693	61973578-4c0d-4a3f-b9c4-f96ceab24629	6218f366-d5d2-4289-a95e-eeedfae7523a	734a8251-9ecc-47f5-835f-846b67693ca6	7ae9b843-488f-459c-8c0d-c81dcae57f99	7d6fb1a7-7742-4b8c-9903-abff706240b5	7dd2dc62-0eb4-4d45-86f1-e9e9377181ca	7e10e325-16d2-42df-b957-df4d3a9477d0	836ec5a5-e385-4236-83e7-2641ee35db7f	84ae4dd8-f661-46aa-9892-69742e2f3542	9ed8f0b9-d615-44c4-9ec9-e07ecd744922	a6045753-60bb-4e65-bc89-1ef0b47aab35	dc85552c-2488-48d9-9da1-67a380945b85	ec16d1f5-f8a9-4c19-8cce-92f6ea9eb3f7	f921b592-fa4d-49f7-b773-81a0e903aaed	f9c0a12c-2651-d9ea-e040-11ac0d483201	f9c3eaad-a0d9-8bf8-e040-11ac0d481d8e	f9c650e7-9053-78eb-e040-11ac0d4874bb	fc9d5fc6-7f7d-1313-e040-11ac0d485f85
2:LOH:>40Mb	2	2	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	2	2	1	1	1	0	0	0	2	0	0	2	0	1	0	0	1	1	2	2	2	1	0	0	2	3	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
3-4:LOH:0-100kb	3	1	1	2	6	1	0	1	0	2	5	1	0	0	1	9	5	1	1	0	1	1	0	0	0	0	7	5	8	8	0	1	1	1	0	5	4	1	1	1	4	9	11	0	1	4	4	3	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3-4:LOH:100kb-1Mb	1	1	0	0	4	0	0	1	2	3	3	3	0	1	0	3	3	1	2	1	2	0	0	0	1	0	4	5	2	2	1	2	0	0	1	5	4	2	1	1	5	1	3	1	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	3	3	3	0	1	0	0	3	0	1	1	2	0	0	1	2	1	0	3	2	1	0	0	0	0	0	0	1	2	1	2	3	0	0	0	1	1	2	3	2	2	1	4	4	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3-4:LOH:10Mb-40Mb	1	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
