Mutation Types	0040b1b6-b07a-4b6e-90ef-133523eaf412	00c27940-c623-11e3-bf01-24c6515278c0	01dc6872-c623-11e3-bf01-24c6515278c0	041e3b42-c623-11e3-bf01-24c6515278c0	06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	0831e45e-c623-11e3-bf01-24c6515278c0	0a9c9db0-c623-11e3-bf01-24c6515278c0	0be08326-c623-11e3-bf01-24c6515278c0	0dd39eca-c623-11e3-bf01-24c6515278c0	0eeafcd6-c623-11e3-bf01-24c6515278c0	10cb8ac6-c622-11e3-bf01-24c6515278c0	11473a98-d953-45f9-abf5-709b68a4bae8	13bd2b30-c623-11e3-bf01-24c6515278c0	145f6dbb-9744-44f7-8485-e440689de3fd	15895218-c623-11e3-bf01-24c6515278c0	15fd8dc8-c622-11e3-bf01-24c6515278c0	17de5b12-c623-11e3-bf01-24c6515278c0	18f5e75e-c623-11e3-bf01-24c6515278c0	19085f7d-e6a6-406f-bd09-520a27e0283d	19fe27d8-c623-11e3-bf01-24c6515278c0	1c10ab52-01a3-11e4-8395-af1f6b7ba88c	1c1c6494-c623-11e3-bf01-24c6515278c0	1cb25b72-3726-4f12-9e22-f5c7e4b05681	1df8939c-c622-11e3-bf01-24c6515278c0	221d0290-c623-11e3-bf01-24c6515278c0	23eb72d8-c622-11e3-bf01-24c6515278c0	27fcccdc-c622-11e3-bf01-24c6515278c0	2828e5e6-c623-11e3-bf01-24c6515278c0	295aac88-c623-11e3-bf01-24c6515278c0	2d0e4b82-c623-11e3-bf01-24c6515278c0	2ecd8358-c622-11e3-bf01-24c6515278c0	2f149d78-c623-11e3-bf01-24c6515278c0	30a8f292-c623-11e3-bf01-24c6515278c0	32be40fa-c623-11e3-bf01-24c6515278c0	35cca3b8-c623-11e3-bf01-24c6515278c0	35f82a33-bde2-47e2-8aba-ff1fd5920219	36d9c1aa-c623-11e3-bf01-24c6515278c0	380593d8-c623-11e3-bf01-24c6515278c0	38d8e626-c622-11e3-bf01-24c6515278c0	3b02a7a7-e5bc-4e77-b691-521603630b00	3b41cb48-c623-11e3-bf01-24c6515278c0	3c30b10e-c623-11e3-bf01-24c6515278c0	3d400522-c623-11e3-bf01-24c6515278c0	40b1e928-c623-11e3-bf01-24c6515278c0	41de507a-c623-11e3-bf01-24c6515278c0	4255582e-c622-11e3-bf01-24c6515278c0	43206cb7-787d-4f68-8019-55e8585c4b4d	43dadc68-c623-11e3-bf01-24c6515278c0	446437de-c622-11e3-bf01-24c6515278c0	45aedf22-c622-11e3-bf01-24c6515278c0	468083cb-95c3-47c1-9d96-79bcf7bf3f26	47050918-c623-11e3-bf01-24c6515278c0	47d77750-c622-11e3-bf01-24c6515278c0	49795e42-c623-11e3-bf01-24c6515278c0	4a703d3e-c623-11e3-bf01-24c6515278c0	4b8943be-c623-11e3-bf01-24c6515278c0	4f1fc78e-733d-4c6e-86b2-dbe1f98c141d	4fdc8980-c623-11e3-bf01-24c6515278c0	5042b417-d14e-42bb-b6f3-de303346a252	50b61288-1412-4104-92e6-8b1a359ef399	50eb58ba-c623-11e3-bf01-24c6515278c0	51800588-c622-11e3-bf01-24c6515278c0	52d8ccfc-c623-11e3-bf01-24c6515278c0	532259b8-c622-11e3-bf01-24c6515278c0	53df19a8-c623-11e3-bf01-24c6515278c0	54354d24-c622-11e3-bf01-24c6515278c0	54cfd4b0-c623-11e3-bf01-24c6515278c0	558239c7-a160-4228-8fdf-a0a1d2f62133	55e5497a-c623-11e3-bf01-24c6515278c0	56c846d6-c622-11e3-bf01-24c6515278c0	56d4ea48-c623-11e3-bf01-24c6515278c0	5769ae11-5f1b-483f-b228-7584591c66e6	58f4ff52-c623-11e3-bf01-24c6515278c0	59632e7e-c622-11e3-bf01-24c6515278c0	5b178f44-c622-11e3-bf01-24c6515278c0	5bb37ffc-c623-11e3-bf01-24c6515278c0	5cf21488-c622-11e3-bf01-24c6515278c0	5dce221a-c623-11e3-bf01-24c6515278c0	5ee1dda9-2e84-4617-af09-2ae02873b44d	6012cb02-c623-11e3-bf01-24c6515278c0	627823ec-c623-11e3-bf01-24c6515278c0	63fef3fe-c622-11e3-bf01-24c6515278c0	64b80154-c623-11e3-bf01-24c6515278c0	6622f932-c622-11e3-bf01-24c6515278c0	67189cd8-c623-11e3-bf01-24c6515278c0	674819dc-c622-11e3-bf01-24c6515278c0	69f37546-c622-11e3-bf01-24c6515278c0	6a129b50-c623-11e3-bf01-24c6515278c0	6baee028-c622-11e3-bf01-24c6515278c0	6c306cbe-c623-11e3-bf01-24c6515278c0	6d9d7ffc-c622-11e3-bf01-24c6515278c0	6ec4456e-c622-11e3-bf01-24c6515278c0	7260f57c-c623-11e3-bf01-24c6515278c0	73afad06-c623-11e3-bf01-24c6515278c0	764ded9e-c622-11e3-bf01-24c6515278c0	77bf9514-88da-473b-9a91-f669ef3cd343	7a6cb147-a576-446d-a605-fa846ea3d1ad	7d38018a-c622-11e3-bf01-24c6515278c0	7eac4710-c622-11e3-bf01-24c6515278c0	7eb0ee38-fbe2-49ea-ba63-aa13825eca6e	7f795952-c623-11e3-bf01-24c6515278c0	80ebcecc-4a7a-40dd-914c-f0648a58095f	819b4304-c622-11e3-bf01-24c6515278c0	82aefe8e-c622-11e3-bf01-24c6515278c0	83d57c5c-c622-11e3-bf01-24c6515278c0	850389d4-c622-11e3-bf01-24c6515278c0	87671312-c622-11e3-bf01-24c6515278c0	88d82a42-c622-11e3-bf01-24c6515278c0	8a2580c3-9c89-4cb0-b94d-3eca15dac1c3	8a6d6b2e-c622-11e3-bf01-24c6515278c0	8b0c4c91-2d07-4a9b-97a1-d2bda003437e	8c5f9574-c622-11e3-bf01-24c6515278c0	8eb90ea4-c622-11e3-bf01-24c6515278c0	8fd5e62c-c622-11e3-bf01-24c6515278c0	9321341c-c622-11e3-bf01-24c6515278c0	93a49462-4bd3-4efa-87a5-69006abba5a0	94431626-c622-11e3-bf01-24c6515278c0	96517058-18d2-4847-8085-768ca8aa1565	96abdbc8-c622-11e3-bf01-24c6515278c0	98d27916-c622-11e3-bf01-24c6515278c0	9aac83e4-c622-11e3-bf01-24c6515278c0	9ba2c970-c622-11e3-bf01-24c6515278c0	9db994a0-c622-11e3-bf01-24c6515278c0	9ec31146-c622-11e3-bf01-24c6515278c0	9fba5db6-c622-11e3-bf01-24c6515278c0	a1a75f66-c622-11e3-bf01-24c6515278c0	a2a67c8a-c622-11e3-bf01-24c6515278c0	a4ca18dc-c622-11e3-bf01-24c6515278c0	a7314730-c622-11e3-bf01-24c6515278c0	a846f5e8-c622-11e3-bf01-24c6515278c0	a94d63fa-c622-11e3-bf01-24c6515278c0	aabddb20-c622-11e3-bf01-24c6515278c0	adfbba82-c622-11e3-bf01-24c6515278c0	b32449c0-c622-11e3-bf01-24c6515278c0	b421b9ca-c622-11e3-bf01-24c6515278c0	b55751c4-c622-11e3-bf01-24c6515278c0	b5f90cb8-7304-48fb-a1d3-ff459c7d79d1	b77543e4-c622-11e3-bf01-24c6515278c0	ba940092-c622-11e3-bf01-24c6515278c0	bef21282-c622-11e3-bf01-24c6515278c0	c6bb32f0-c622-11e3-bf01-24c6515278c0	c7d798b8-c622-11e3-bf01-24c6515278c0	ca5ded1c-c622-11e3-bf01-24c6515278c0	cb86fbb6-c622-11e3-bf01-24c6515278c0	cf2d34c4-c622-11e3-bf01-24c6515278c0	cf777ef1-765f-4828-b789-f5aa6722eb35	d0469256-c622-11e3-bf01-24c6515278c0	d2b7bb0a-c622-11e3-bf01-24c6515278c0	d3b72600-a888-4ef6-ac5d-661c105405dd	d4c9e5c6-c622-11e3-bf01-24c6515278c0	d60f880a-c622-11e3-bf01-24c6515278c0	d7578910-c622-11e3-bf01-24c6515278c0	de4f520c-c622-11e3-bf01-24c6515278c0	e127e9e4-c622-11e3-bf01-24c6515278c0	e23c591e-c622-11e3-bf01-24c6515278c0	e64e9f76-c622-11e3-bf01-24c6515278c0	e9445993-854d-44fc-a063-eacf70222fdf	e99ccc0c-c622-11e3-bf01-24c6515278c0	eb1792ee-6946-4e0d-bdd1-c924328dba5d	eb588266-c622-11e3-bf01-24c6515278c0	ec23a354-e339-4466-9a1b-8e886ef627e6	f0768c67-f38c-40a8-8f27-81a927fb5dca	f4025b40-a249-487f-8e93-7a140bcf57c1	f410b432-c622-11e3-bf01-24c6515278c0	f4f48342-c622-11e3-bf01-24c6515278c0	f61e794e-c622-11e3-bf01-24c6515278c0	f8733b80-c622-11e3-bf01-24c6515278c0	f9718c44-c622-11e3-bf01-24c6515278c0	fbd899a0-c622-11e3-bf01-24c6515278c0	ffad9288-c622-11e3-bf01-24c6515278c0
2:LOH:>40Mb	1	0	0	0	0	0	1	0	1	0	2	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	1	1	3	0	1	1	0	0	1	1	1	0	1	0	0	1	0	2	0	0	3	2	0	2	2	0	0	5	5	0	1	0	2	0	0	0	0	1	8	0	1	1	1	0	1	2	0	0	0	0	0	0	4	0	1	0	0	0	2	1	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	2	1	0	0	0	1	1	0	4	0	0	1	0	0	2	0	1	2	0	1	0	2	0	0	0	1	0	8	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	3	1	1
3-4:LOH:0-100kb	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1	3	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	2	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	32	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0
3-4:LOH:100kb-1Mb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	11	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	0	1	0	0	1	4	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
3-4:LOH:10Mb-40Mb	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	5	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	8	0	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	6	2	2	1	0	2	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	1	0	2	0	0	0	0	3	1	0	0	1	0	3	0	0	0	1	2	2	0	3	0	0	1	0	5	0	1	2	0	5	0	2	6	0	0	0	3	0	0	4	2	2	0	0	0	2	1	0	2	0	2	1	1	0	6	0	0	0	2	2	0	0	0	3	0	4	0	1	0	2	4	0	1	3	1	6	0	0	2	5	1	0	1	3	3	1	0	5	0	1	1	2	0	3	1	9	1	0	1	0	0	1	2	1	1	0	0	3	19	3	1	1	5	4	3	1	1	0	1	4	0	1	2	0	0	0	0	3	1	0	0	0	0	0	0	1	4	0	0	0	0	2	0	1	0	1	12
2:het:100kb-1Mb	2	1	1	1	0	4	1	0	1	0	0	0	10	6	1	2	2	2	1	0	1	2	0	0	0	0	1	2	5	1	0	0	4	1	0	1	0	0	0	4	1	1	0	0	0	4	0	26	5	2	2	1	3	1	0	5	0	0	0	4	1	0	2	0	1	0	0	1	0	2	1	0	0	0	1	0	0	2	0	2	0	1	3	0	2	1	0	1	3	6	0	4	1	4	3	7	1	0	0	0	0	7	1	1	1	0	13	1	1	1	5	0	4	5	1	0	12	4	16	0	2	1	0	0	0	3	1	1	0	1	2	13	8	3	0	4	3	4	1	2	0	2	2	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	2	1	2	0	1	22
2:het:1Mb-10Mb	0	2	4	1	3	5	0	1	4	3	0	2	4	4	1	2	5	5	2	1	0	2	0	0	0	0	3	0	31	1	1	0	6	1	3	3	2	1	1	2	3	2	2	0	4	5	1	22	3	2	4	0	16	5	2	4	0	2	0	4	1	3	1	1	0	0	3	0	0	1	1	3	5	0	0	0	2	8	2	5	0	2	1	0	1	2	3	0	10	2	0	4	4	1	2	43	1	2	2	0	0	4	6	0	1	2	11	5	1	1	5	0	1	5	4	0	60	3	4	3	4	0	0	0	0	1	0	1	1	6	7	13	3	7	0	1	2	2	1	25	0	3	3	0	0	3	4	2	1	1	3	2	0	0	2	6	0	1	3	5	1	1	0	1	2	1	5	0	6	16
2:het:10Mb-40Mb	3	2	12	6	3	9	0	9	8	11	1	5	5	8	2	5	3	3	5	8	2	1	3	0	0	4	8	4	42	6	5	0	4	3	4	6	6	0	2	4	5	10	8	6	11	4	4	17	5	5	8	2	22	7	11	7	0	11	2	0	19	9	3	3	1	4	9	0	6	2	7	8	11	0	6	0	2	9	12	4	0	9	2	2	5	1	6	0	15	0	0	4	3	8	3	50	5	3	7	0	2	3	3	9	5	6	10	9	0	4	4	3	2	16	2	0	59	0	0	10	0	6	0	0	5	2	7	2	1	12	12	10	4	1	1	4	4	12	3	36	6	5	15	0	0	0	6	5	7	5	9	7	5	9	4	13	0	4	8	4	2	0	3	5	1	4	9	0	7	12
2:het:>40Mb	0	18	16	24	17	17	0	16	18	11	1	16	8	16	1	15	12	16	18	20	18	15	14	1	0	22	13	14	9	21	14	0	11	14	10	10	1	1	17	12	6	19	14	21	14	12	18	22	17	15	15	19	12	19	20	3	0	19	2	0	24	19	2	4	0	18	16	1	21	20	24	14	20	0	8	0	16	14	19	14	0	16	8	18	19	11	16	0	14	3	1	18	13	10	7	17	16	14	13	3	5	14	16	16	13	16	17	15	0	18	13	13	17	13	6	0	8	2	0	16	10	20	0	0	19	0	19	18	0	13	17	2	24	1	1	13	18	17	1	16	23	22	14	0	0	15	5	13	25	18	16	21	15	20	17	21	0	25	7	7	23	2	14	1	12	20	15	0	14	14
3-4:het:0-100kb	0	0	5	3	5	1	1	2	1	5	3	0	6	0	5	1	13	2	3	2	1	0	1	4	2	2	2	1	16	3	1	0	0	2	1	0	9	2	0	1	4	2	3	4	1	1	0	9	0	0	2	1	10	1	4	9	7	4	1	5	1	5	2	3	7	1	2	3	2	0	3	1	5	11	1	0	0	0	5	3	1	1	1	1	2	5	0	4	4	7	0	0	1	2	0	59	3	1	2	2	0	7	21	1	3	3	7	4	10	0	7	3	0	10	2	4	17	4	22	0	4	2	2	1	3	9	0	0	7	3	6	19	3	6	16	2	2	5	39	13	5	3	4	0	12	5	2	1	0	2	3	1	4	0	3	4	6	4	1	1	2	0	0	4	1	0	0	3	1	12
3-4:het:100kb-1Mb	2	4	10	9	3	12	5	4	1	3	6	0	11	2	2	4	4	8	1	7	0	0	3	0	1	3	8	0	51	2	0	2	3	4	2	2	9	2	4	2	7	6	9	2	12	4	0	25	6	1	0	0	7	1	5	20	16	11	1	16	11	1	6	8	13	2	1	1	1	3	0	2	3	9	2	2	2	0	2	2	8	1	1	1	2	1	2	5	4	10	1	3	5	4	0	54	1	3	5	4	1	19	35	0	1	3	10	1	5	3	5	0	2	5	0	5	122	7	29	14	3	3	3	2	2	9	3	0	4	10	3	2	8	10	11	3	1	11	69	49	3	2	0	1	2	1	3	1	7	0	10	1	5	8	6	11	2	4	7	3	2	2	0	1	3	0	6	1	6	10
3-4:het:1Mb-10Mb	4	1	4	5	3	8	1	1	1	3	6	0	3	0	3	0	4	2	0	2	2	0	3	3	2	1	0	1	7	0	4	4	0	0	0	3	14	9	0	1	4	4	0	0	3	0	2	11	5	4	1	0	8	2	0	10	11	3	1	35	1	1	13	11	12	1	1	4	1	1	0	0	1	11	0	3	1	3	0	3	22	0	0	1	1	2	1	14	3	11	2	3	3	0	1	2	3	0	2	3	2	10	18	0	3	1	8	0	6	0	5	0	4	1	1	5	64	7	14	5	0	2	15	2	0	17	1	1	5	2	0	7	2	23	13	1	1	8	122	10	1	3	3	2	13	0	1	0	2	1	5	0	2	0	0	10	10	0	3	3	2	0	0	5	0	0	9	9	8	6
3-4:het:10Mb-40Mb	10	1	3	0	0	7	3	4	1	4	8	2	0	0	6	0	2	2	0	2	1	3	1	2	2	0	7	1	1	0	2	5	2	0	1	1	6	12	2	0	2	1	0	3	4	1	0	2	1	0	6	0	7	2	0	5	11	6	7	18	2	1	6	17	21	2	3	6	5	0	1	2	2	13	1	5	5	4	0	0	28	1	1	0	2	0	1	19	6	12	7	0	4	2	2	5	5	1	5	11	2	1	3	0	4	2	1	4	15	0	0	4	2	1	0	9	22	5	6	6	0	2	20	6	4	20	0	3	7	2	4	6	1	16	19	0	0	3	62	6	0	1	2	5	14	1	0	1	0	1	2	0	0	0	1	2	6	0	1	2	1	6	1	18	2	2	3	6	5	1
3-4:het:>40Mb	11	2	2	2	2	5	12	2	2	2	3	6	1	3	14	1	1	3	1	2	1	0	9	3	13	1	8	5	1	3	5	19	1	1	0	14	14	15	1	0	0	0	1	5	2	0	2	0	1	11	5	1	1	6	1	2	19	2	17	12	1	3	20	10	18	2	5	8	3	1	2	1	1	12	1	11	6	3	1	2	13	2	4	2	9	1	1	14	2	19	14	1	9	0	1	0	7	5	3	14	19	0	5	2	4	2	2	2	15	2	0	14	3	0	1	17	0	10	3	3	1	4	18	13	5	15	2	2	16	0	0	1	1	13	19	0	2	1	4	0	3	0	4	17	10	1	1	5	1	1	2	1	2	2	3	2	16	0	2	3	3	19	11	12	2	1	1	15	3	2
5-8:het:0-100kb	0	1	1	2	1	0	1	0	0	1	3	0	3	0	6	1	0	4	0	0	0	0	1	1	2	0	1	0	4	0	0	1	1	1	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	17	20	1	1	3	1	0	5	2	9	0	0	6	0	0	0	0	3	5	0	3	0	0	0	2	10	0	0	0	0	0	0	1	0	2	1	0	3	0	0	3	0	0	0	0	0	6	36	0	1	0	2	0	0	0	0	1	0	25	0	4	2	6	23	0	0	0	6	2	2	9	0	0	7	0	0	7	0	3	14	0	0	0	151	2	2	0	0	2	20	0	0	0	0	0	1	1	1	0	1	0	3	0	0	0	1	2	0	3	0	0	0	0	2	0
